Date,Open,High,Low,Close,Volume (BTC)
2014-05-24,523.61,529.75,514.25,528.0,4544.3046182
2014-05-25,528.92,586.0,528.92,573.99,32267.7960527
2014-05-26,574.55,593.3,566.21,586.0,16378.6511253
2014-05-27,586.69,597.3,551.0,576.08,18029.6791257
2014-05-28,573.6,583.5,565.0,578.77,7636.65709659
2014-05-29,580.0,583.0,563.0,569.5,7828.1586295
2014-05-30,569.85,630.0,569.85,621.0,23195.0801475
2014-05-31,620.9,629.0,610.02,626.21,7149.49782879
2014-06-01,627.01,680.0,618.01,626.42,34401.3101483
2014-06-02,631.97,679.8,615.0,667.11,21044.808805
2014-06-03,667.78,685.0,652.16,674.0,19813.4815101
2014-06-04,670.84,672.97,620.0,642.0,27560.7517488
2014-06-05,642.0,672.0,641.0,660.9,9921.58747866
2014-06-06,660.99,664.94,646.8,649.39,5622.64559487
2014-06-07,649.35,659.4,637.01,657.21,6596.49809085
2014-06-08,657.21,664.5,652.5,658.7,3644.18278973
2014-06-09,658.7,661.99,639.06,650.3,6794.57192595
2014-06-10,650.3,672.0,646.0,657.0,6898.76984299
2014-06-11,657.0,666.5,635.11,637.6,11459.6607419
2014-06-12,637.6,647.0,575.2,597.99,28947.7195688
2014-06-13,596.43,620.97,592.11,605.0,15003.7276634
2014-06-14,605.2,606.98,522.15,570.27,25862.2026645
2014-06-15,570.26,595.1,540.0,593.89,14771.518935
2014-06-16,593.61,612.0,582.1,591.1,13617.4272934
2014-06-17,592.35,619.0,591.1,613.4,8784.01582691
2014-06-18,613.4,619.6,601.5,608.1,6071.10324019
2014-06-19,608.6,611.99,592.9,597.3,5343.70478112
2014-06-20,596.06,598.28,582.37,592.0,8688.5440458
2014-06-21,592.0,599.91,583.5,595.5,4122.15638252
2014-06-22,596.9,615.0,595.5,603.4,4720.27548757
2014-06-23,603.39,604.19,580.11,591.57,5269.37867215
2014-06-24,591.02,597.79,580.0,580.56,5497.2282752
2014-06-25,580.65,584.99,560.53,566.75,9323.34331505
2014-06-26,566.75,584.0,562.9,581.98,6271.32252637
2014-06-27,581.99,604.9,575.03,604.0,7343.10092241
2014-06-28,604.0,607.21,593.89,596.1,5725.69485897
2014-06-29,596.1,607.0,593.37,601.95,3131.47102969
